Income,samptype,borough,a01,a03,a04,a05,a06,a07,a08,a09,a10,a11,a12,a13,b01,b02,b03,b04,b05_1,b05a_1,b05b_1,b05c_1,b05_2,b05a_2,b05b_2,b05c_2,b05_3,b05a_3,b05b_3,b05c_3,b05_4,c01_1,c01a_1,c01b_1,fcs2a,fcs3,fcs4,d01,d01_a,d01_b,d01_c,d01_d,d02,d03,d03_a,d03_b,d03_c,d03_d,d04,e01,e02,f01_1,f02,f02_1,f02_2,f05,f06,f07,f08,f10,f12,f13,f14,m01,m02,m03,m03_a,m04,m05,m06,m07,m08,m16,m17,m18,m19,m21,m23,m23_c,m23_d,m23_e,m23_f,m23_g,m24,m29,m29_a,m30,m30_a,n01,n02,n02_a,n03,n04,n04_a,n05,n06,n07,n08,n09,n09_a,n09_b,n09_c,n09_d,n09_e,n09_f,n09_g,n29,n30,n31,n32,n33,n42,n43,n51,n52,n53,n54,n55,o01,o02,o03,o04,o05,o06,o07,o08,o09,o10,o11,o14,o18_a,o18_b,o21,o21_a,o27,o28,p01,p08,p10,p19,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,wa1,wa2,wa3,wa4,wa5,r01,r02,r03,r04,r05,r07,r08,r09,r23,houpeo,hhadul,houchild,fampeo,famadul,famchild,w3cphhwt,w3cpppwt,partner,phones,intmo,educ_sp,educ,sex,sexedu,mleshi,mhisch,msmcol,mcolleg,fleshi,fhisch,fsmcol,fcolleg,race,white,black,hisp,orace,r_age,agepart,avage,age,ag18_24,ag25_34,ag35_44,ag45_64,ag65m,marrcoh,single,indnok,indwk,ftype,w3cninwt,w3cnfmwt,w3cnhhwt,hlth,hlth4,adgdhlth,adfrhlth,adprhlth,nodisab,educ_r,hs,lshs,hsged,smcol,college,assets,liquid,liquid10,liquid25,ownhome,mkthome,owehome,nethome,owncar,mktcar,owecar,netcar,brw000,brw00,emp,ftw_r,ftw_s,ftwork,fpovline,pov150,poor,pov4,affl,inc150,mead_inc,obs,abovemed,nhunger,utibill,rathou,houqual,rooms,averm,onerm,nbgood,nbsafe,crime,hi_r,hi_s,hi_k,hlthins,ratnyc,police,ratsch,kids,rage_c,age18_24,age45_59,age60m,immig2,efrouse,infants,preschs,schage,ch3_6,ch5_12,und12_n,cc_use,lowman,brookgz,statigz,proxi,psex,women,men,rwork,spwork,womwork,menwork,anywork,totwom,totmen,twomwk,tmenwk,emprate,empratem,empratew,singnok,singwk,marnok,marwk,qkey,cr05,unemp,xunemp,xunemp2,socsec,xsocsec,xsocsec2,pension,xpension,xpensio2,interest,xinter,xinter2,rental,xrental,xrental2,alimony,xalimon,xalim2,giftmon,xgiftmon,xgiftmo2,ssi,xssi,xssi2,foodstam,xfoodst,xfdstmp2,welfare,xwelf,xwelf2,sumch6,anych6,blackx,hispanic,immig,immigran,rdisab,cdisab,r_hs,r_post,r_hied,r_sex,r_agex,r_agesq,work_r,work_s,primary,prhseduc,prposths,prhied,sexpart,pr_sex,agepartx,tempagepx,tempagpmx,pr_age,pr_agesq,auxpoor,auxrich,auxold,sexprhs,sexprpos,sexprhie,sexprchi,sexprch6,workmos,workhrs,secondar,i_inter,r_inter,i_gift,r_gift,i_foodst,r_foodst,i_socsec,r_socsec,i_welf,r_welf,i_rental,r_rental,i_pens,r_pens,i_unemp,r_unemp,i_alimon,r_alimon,i_ssi,r_ssi,charity
48911,1,2,10,2,1,2,1,1,2,2,1,2,1,3,5,2,30,1,1,2,2,28,2,,,,,,,,,0,2,1,1,0,2,3,,,,,2,7,,,,2,2,2,2,3,2,,,,1,8,1,2,900,8,2,1,1,2,,1,1,2,2,2,,,,2,2,3,630,,12,7560,1,8,2,,2,,1,1,,2,2,2,12,40,,,4,,,,45000,,45000,1,2,,2,,8,1,8,1,2,,1,14000,2,1,2,2,2,2,2,2,,2,2,2,,,,,2,2,1,2,2,2,2,2,9,,2,2,2,2,3,2,1,2,2,2,1,1,2,2,72,97,,,1988,1,4,2,2,4,2,2,0.425625712,584.6281738,1,1,0,4,3,1,3,0,0,1,0,0,0,0,0,3,0,0,1,0,30,28,29,2,0,1,0,0,0,1,0,0,1,4,1272.005371,636.0026855,636.0026855,1,1,0,0,0,1,2,1,0,1,0,0,6000,1,0,0,0,0,0,0,1,,7000,,1,1,1,1,0,1,17650,26475,0,70600,0,1,37000,86,1,,,1,,1,0.25,0,1,1,0,1,0,1,0,1,1,1,1,2,0,0,0,1,0,2,0,0,0,0,2,1,0,0,0,0,2,1,1,1,0,0,1,1,782,673,456,497,0.654982805,0.738484383,0.583120227,0,0,0,1,11407,61,0,0,0,,995.5078735,31.55167007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,,1,1,1,0,0,1,0,0,1,30,900,1,0,1,1,0,0,1,1,28,28,41.48656082,30,900,0,0,1,1,0,0,2,1,12,40,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38375,1,1,28,2,1,2,3,1,2,3,2,2,2,1,4,2,28,2,1,2,1,99,2,,,,,,,,,,,,,,,1,1,,,,1,98,,,,,2,1,2,4,2,,,,,,2,,,2,2,3,,5,,3,2,2,2,2,,,,2,2,3,800,,12,9600,1,8,2,,2,,2,2,2,1,1,,,,12,98,,,,,,,,,2,,2,,8,2,,8,,1,2,,2,2,2,2,2,2,2,2,1,2,2,2,,,,,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,1,2,1,4,2,73,1,97,3,,1,2,2,0,2,2,0,1.034082413,1420.388184,1,1,0,,2,2,6,0,0,0,0,0,1,0,0,3,0,0,1,0,28,41.53856659,34.76928329,2,0,1,0,0,0,1,0,1,0,3,3042.93042,1521.46521,1521.46521,1,1,0,0,0,1,2,1,0,1,0,0,,,,,0,0,0,0,0,0,0,0,0,1,1,0,,,11610,17415,0,46440,0,1,42400,33,0,1,1,1,1,3,1.5,1,1,1,1,1,0,,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,782,673,456,497,0.654982805,0.738484383,0.583120227,0,0,1,0,11412,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,1,0,0,0,28,784,0,1,0,1,1,0,2,1,41.48656082,,41.48656082,41.53856659,1725.452515,0,0,0,1,1,0,0,0,12,42.29999924,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115001,1,1,52,1,1,1,1,2,2,8,1,2,2,2,1,1,52,2,1,1,1,54,1,5,1,25,2,,,,,,,,,,,7,,,,2,2,9,,,,,2,3,2,1,1,1,,2,1,3000,1,2,100,8,2,1,2,1,,6,1,2,2,2,,,,2,2,4,,20000,,20000,1,2,2,,1,2,1,1,,1,1,,10,40,12,50,4,,,,15000,,15000,1,2,,2,,8,1,45000,1,1,,1,4000,2,2,2,2,2,2,2,2,,2,2,2,,,,,2,2,2,2,2,2,2,1,4,1,2,2,2,2,4,2,2,2,2,2,2,2,1,2,49,1,1,97,,1,3,3,0,2,2,0,1.245190263,1710.360352,1,2,0,4,4,2,8,0,0,0,0,0,0,0,1,1,1,0,0,0,52,54,53,4,0,0,0,1,0,1,0,1,0,3,3332.769775,1666.384888,1110.923218,1,2,1,0,0,1,4,1,0,0,0,1,,,,,0,0,0,0,1,45000,0,45000,1,1,1,0,1,1,11610,17415,0,46440,1,1,42400,263,1,,,1,,6,2,1,1,1,1,1,1,,1,1,1,,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,782,673,456,497,0.654982805,0.738484383,0.583120227,0,0,1,0,11413,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,1,1,0,52,2704,1,1,0,1,1,1,2,1,54,54,41.48656082,54,2916,0,0,0,1,1,1,0,0,12,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122150,1,4,20,2,1,2,2,2,3,3,1,2,2,2,1,1,28,2,1,1,1,28,2,,,,,,,,,,,,,,,9,,,,,2,9,,,,,2,2,2,1,1,1,,2,2,,1,2,200,2,2,2,,2,,3,2,2,2,1,110000,70000,1,,,,,,,,,,2,,2,,1,1,,1,1,,12,40,12,40,4,,,,60000,,60000,1,1,1,1,1,20000,1,15000,1,1,,1,1000,2,2,2,1,2,2,1,2,,2,2,2,150,2,4000,2000,2,2,2,2,2,2,2,1,1,1,2,2,2,2,4,2,2,2,2,2,1,2,3,6,73,9,,,1981,1,2,2,0,2,2,0,1.68340683,2312.282959,1,1,0,4,4,2,8,0,0,0,0,0,0,0,1,4,0,0,0,1,28,28,28,2,0,1,0,0,0,1,0,1,0,3,6595.540039,3297.77002,3297.77002,1,1,0,0,0,1,4,1,0,0,0,1,20000,1,1,0,1,110000,70000,40000,1,15000,15000,0,1,1,1,1,1,1,11610,17415,0,46440,1,1,42400,201,1,,,1,,3,1.5,1,1,1,1,1,1,,1,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,782,673,456,497,0.654982805,0.738484383,0.583120227,0,0,1,0,11418,9,0,0,0,0,0,0,0,0,0,150,150,12.24744892,0,0,0,0,0,0,2000,2000,44.72135925,0,0,0,0,0,0,0,0,0,0,0,,0,1,1,0,0,1,1,1,0,28,784,1,1,1,1,1,1,2,0,28,28,41.48656082,28,784,0,1,0,0,0,0,0,0,12,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2900,1,4,20,3,3,3,1,4,2,3,2,2,2,1,2,5,55,2,1,5,1,29,1,5,1,26,2,,,,,9,2,5,,9,2,2,,2,,,2,,,,,,,4,2,1,,,,2,1,14000,2,,,,,1,1,20,,5,3,2,2,2,,,,2,2,3,643,,12,7716,1,1,2,,2,,1,1,,,,,12,80,,,4,,,,2500,,2500,1,2,,2,,70000,2,,1,1,,2,,2,2,2,1,2,2,2,2,,2,2,2,400,2,,,2,1,2,2,2,2,2,1,2,1,1,2,2,2,2,1,2,2,1,2,1,1,2,3,46,1,1,1,,1,11,3,8,2,1,1,1.03919816,1427.415039,0,1,0,,2,2,6,0,0,0,0,0,1,0,0,3,0,0,1,0,55,,55,4,0,0,0,1,0,0,1,0,1,2,2047.355835,2047.355835,682.4519653,0,3,0,1,0,1,2,1,0,1,0,0,70000,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,,1,11610,17415,1,46440,0,0,42400,113,0,1,1,0,1,5,0.454545468,0,0,1,1,1,,1,1,0,0,0,1,3,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,,1,0,1,,1,0,1,782,673,456,497,0.654982805,0.738484383,0.583120227,0,1,0,0,11425,1,0,0,0,0,0,0,0,0,0,400,400,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,1,0,0,0,55,3025,1,,1,1,0,0,0,0,0,,41.48656082,55,3025,0,1,0,0,0,0,0,0,12,80,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10896,1,1,13,2,2,2,1,1,2,3,2,1,2,2,1,1,37,1,1,1,2,32,2,,,,,,,,,,,,,,,8,,,,,2,7,,,,1,1,1,2,,2,,,,,,,,,2,1,1,2,7,,2,1,2,1,2,,,,2,2,3,650,,12,7800,1,1,2,,2,,1,2,2,1,1,,,,12,37,,,,,,,,,1,1,1,1,0,2,,1,2,,2,,2,2,2,2,2,2,2,2,2,2,2,2,,,,,2,2,2,1,2,2,2,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,3,66,97,,,1990,1,2,2,0,2,2,0,1.431820273,1966.710327,1,1,0,3,3,1,3,0,0,1,0,0,0,0,0,2,0,1,0,0,37,32,34.5,2,0,1,0,0,0,1,0,1,0,3,4133.84668,2066.92334,2066.92334,1,1,0,0,0,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,11610,17415,1,46440,0,0,42400,319,0,1,0,1,0,2,1,1,1,1,0,0,0,,0,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,1,782,673,456,497,0.654982805,0.738484383,0.583120227,0,0,1,0,11432,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,37,1369,0,1,0,1,1,0,1,0,32,32,41.48656082,32,1024,0,0,0,0,0,0,0,0,12,37,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7416,1,2,54,3,3,4,2,3,4,2,3,2,2,1,3,5,54,1,2,,,,,,,,,,,,,,,,,,,7,,,,1,2,,,,,,,5,1,4,,,,,,,2,,,,,1,1,1,,3,3,2,1,2,,,,2,2,3,175,,12,2100,1,2,2,,2,,2,2,2,,,,,,,,,,,,,,,,,,,,20000,2,,1,2,,1,2100,2,2,2,2,2,2,2,2,,1,2,2,,,,,2,2,1,2,2,1,2,1,2,1,2,2,2,2,4,2,1,2,2,2,1,2,2,1,48,1,1,1,,1,1,1,0,1,1,0,1.307195663,1795.529297,0,1,0,,3,1,3,0,0,1,0,0,0,0,0,2,0,1,0,0,54,,54,4,0,0,0,1,0,0,1,1,0,1,3957.23877,3957.23877,3957.23877,0,4,0,0,1,0,3,1,0,0,1,0,20000,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,,0,8590,12885,1,34360,0,0,21000.00195,284,0,1,1,0,0,3,3,1,0,0,1,1,,,1,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,,0,0,0,782,673,456,497,0.654982805,0.738484383,0.583120227,1,0,0,0,11458,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7416,7416,86.11620331,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,54,2916,0,,1,1,1,0,0,1,0,,41.48656082,54,2916,0,0,0,1,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30000,1,3,30,2,1,2,3,3,3,8,2,2,2,2,5,5,30,2,1,7,2,30,1,3,2,51,2,,,,,,,,,,,6,,,,,2,,,,,,,1,2,1,,,,2,2,,2,,,,,1,1,20,,4,3,2,2,2,,,,2,2,3,500,,12,6000,1,1,2,,2,,1,1,,,,,12,40,,,4,,,,30000,,30000,1,1,1,8,,0,2,,2,,1,1,200,2,2,2,2,2,2,2,2,,2,2,2,,,,,2,2,2,2,2,2,2,2,5,,2,2,2,2,1,2,2,2,2,2,1,1,4,3,71,1,1,1,,1,3,3,0,1,1,0,1.916442156,2632.374023,0,1,0,,3,2,7,0,0,0,0,0,0,1,0,3,0,0,1,0,30,,30,2,0,1,0,0,0,0,1,1,0,1,4136.79834,4136.79834,1378.932739,1,1,0,0,0,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,,1,8590,12885,0,34360,0,1,21000.00195,248,1,,,0,,4,1.333333373,1,1,1,1,1,,,1,1,0,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,,1,0,1,,1,0,1,782,673,456,497,0.654982805,0.738484383,0.583120227,1,0,0,0,11518,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,1,1,0,0,30,900,1,,1,1,1,0,0,0,0,,41.48656082,30,900,0,0,0,0,0,0,0,0,12,40,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48700,1,3,12,1,3,1,1,8,1,3,1,2,2,3,1,1,32,2,1,1,1,31,2,,,,,,,,,,,,,,,11,,,,,1,11,,,,,1,1,2,1,1,1,,,1,1500,1,2,600,2,2,1,2,6,,3,1,2,2,2,,,,2,2,4,,10000,,10000,1,1,1,1,2,,1,1,,1,1,,10,20,11,8,4,,,,28000,,28000,1,2,,2,,30000,1,1500,1,1,,2,,2,2,2,1,2,2,1,2,1,2,2,2,200,2,2000,500,2,2,2,2,2,2,2,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,4,69,1,1,1,,1,2,2,0,2,2,0,2.033387184,2793.006836,1,1,1,4,4,2,8,0,0,0,0,0,0,0,1,1,1,0,0,0,32,31,31.5,2,0,1,0,0,0,1,0,1,0,3,5334.109863,2667.054932,2667.054932,1,1,0,0,0,1,4,1,0,0,0,1,30000,1,1,1,0,0,0,0,1,1500,0,1500,1,1,1,0,0,0,11610,17415,0,46440,1,1,42400,379,1,,,1,,3,1.5,1,1,1,1,1,1,,1,1,,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,782,673,456,497,0.654982805,0.738484383,0.583120227,0,0,1,0,11533,1,0,0,0,0,0,0,0,0,0,200,200,14.14213562,0,0,0,0,0,0,500,500,22.36067963,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,1,1,0,32,1024,1,1,1,1,1,1,2,0,31,31,41.48656082,32,1024,0,1,0,0,0,0,0,0,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6125,1,3,50,1,2,2,1,2,2,8,2,2,2,1,3,5,50,2,2,,,,,,,,,,,,,,,,,,,9,,,,,2,,,,,,,4,1,5,,,,,,,1,2,500,1,2,2,,30,,2,1,2,2,1,200000,,,,,,,,,,,,2,,2,,2,2,2,,,,,,,,,,,,,,,,,,,,9,2,,1,1,,2,,2,1,2,1,2,2,1,2,,2,2,2,9,,9,9,2,2,2,2,2,2,2,1,2,1,2,2,2,2,4,2,2,1,1,1,1,2,1,4,98,1,1,1,,1,1,1,0,1,1,0,2.546805859,3498.225098,0,1,0,,4,2,8,0,0,0,0,0,0,0,1,1,1,0,0,0,50,,50,4,0,0,0,1,0,0,1,1,0,1,4680.706055,4680.706055,4680.706055,0,3,0,1,0,0,4,1,0,0,0,1,,,,,1,200000,0,200000,0,0,0,0,1,1,0,0,,0,8590,12885,1,34360,0,0,21000.00195,41,0,1,1,1,1,2,2,1,1,1,1,1,,,1,1,1,,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,,0,0,0,782,673,456,497,0.654982805,0.738484383,0.583120227,1,0,0,0,11537,1,0,0,0,,995.5078735,31.55167007,0,0,0,,2537.256348,50.3711853,0,0,0,0,0,0,,404.5105286,20.11244774,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,1,1,1,0,50,2500,0,,1,1,1,1,0,0,0,,41.48656082,50,2500,0,1,1,0,0,0,0,0,0,0,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104501,1,3,31,1,3,1,1,1,2,1,1,2,2,2,1,1,45,1,1,1,2,45,2,,,,,,,,,8,1,1,1,8,1,11,,,,,2,11,,,,,2,1,2,1,1,1,,2,1,6000,1,2,2000,1,2,2,,13,,6,1,2,2,1,850000,200000,1,,,,,,,,,,2,,1,2,1,1,,1,1,,12,50,11,10,4,,,,140000,,140000,1,1,1,1,8,200000,1,9000,1,1,,1,35000,2,2,2,2,2,2,1,2,,2,2,2,,,5000,1000,2,2,2,2,2,2,2,1,2,1,2,1,2,2,4,2,1,2,1,2,1,2,1,8,56,1,1,1,,1,4,2,2,4,2,2,0.466069311,640.1804199,1,2,0,4,4,1,4,0,0,0,1,0,0,0,0,1,1,0,0,0,45,45,45,4,0,0,0,1,0,1,0,0,1,4,1375.884155,687.9420776,687.9420776,1,1,0,0,0,1,4,1,0,0,0,1,200000,1,1,1,1,850000,200000,650000,1,9000,9000,0,1,1,1,1,0,1,17650,26475,0,70600,1,1,37000,52,1,,,1,,6,1.5,1,1,1,1,1,1,1,1,1,1,1,1,3,0,1,0,0,0,0,1,1,1,1,2,1,0,0,0,0,2,1,1,1,1,1,1,1,782,673,456,497,0.654982805,0.738484383,0.583120227,0,0,0,1,11543,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,31.62277603,0,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,1,1,1,1,45,2025,1,1,1,1,1,1,1,1,45,45,41.48656082,45,2025,0,0,0,1,1,1,2,1,12,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17000,1,3,1,2,8,2,2,8,3,3,2,2,2,2,5,5,22,2,2,,,,,,,,,,,,,,,,,,,10,,,,,1,,,,,,,1,2,6,,,,2,,,2,,,2,2,2,,0,6,1,1,2,2,2,,,,1,2,3,500,,6,3000,1,8,1,3,2,,2,1,,,,,3,35,,,7,,,,,,,,2,,2,,0,2,,1,2,,1,90000,2,2,2,2,2,2,1,2,1,2,2,2,,,20000,12000,2,2,2,2,2,2,2,1,2,2,2,2,2,1,3,2,2,2,1,1,1,2,3,3,79,1,97,97,,1,1,1,0,1,1,0,2.530149221,3475.345947,0,1,2,,4,2,8,0,0,0,0,0,0,0,1,4,0,0,0,1,22,,22,1,1,0,0,0,0,0,1,1,0,1,6212.175781,6212.175781,6212.175781,1,1,0,0,0,1,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,0,8590,12885,0,34360,0,1,21000.00195,103,0,1,1,1,1,1,1,1,1,1,1,1,,,1,1,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,,0,0,0,782,673,456,497,0.654982805,0.738484383,0.583120227,1,0,0,0,11555,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12000,12000,109.5445099,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,1,1,0,22,484,1,,1,1,1,1,0,0,0,,41.48656082,22,484,0,0,0,0,0,0,0,0,3,35,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,3,8,2,3,1,2,1,3,3,2,2,2,2,5,5,21,1,1,3,1,47,1,7,1,27,2,,,,,,,,,,,7,,,,5,1,,,,,,,3,2,,,,,,,,,,,2,2,1,8,4,,4,3,2,2,2,,,,2,2,3,700,,12,8400,1,8,2,,2,,2,2,2,,,,,,,,,,,,,,,,,,,,8,2,,1,2,,2,,2,2,2,2,2,2,2,2,1,2,2,2,,,,,2,2,8,8,2,2,2,2,5,,2,2,2,2,2,2,2,1,2,3,1,1,4,2,81,4,,,1994,1,3,3,0,1,1,0,1.396921635,1918.774536,0,1,0,,3,1,3,0,0,1,0,0,0,0,0,3,0,0,1,0,21,,21,1,1,0,0,0,0,0,1,1,0,1,4261.464355,4261.464355,1420.488159,1,2,1,0,0,1,3,1,0,0,1,0,250,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,0,8590,12885,1,34360,0,0,21000.00195,272,0,1,,0,1,4,1.333333373,1,1,1,1,0,,,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,,0,0,0,782,673,456,497,0.654982805,0.738484383,0.583120227,1,0,0,0,11560,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,0,0,1,1,0,1,21,441,0,,1,1,1,0,0,1,0,,41.48656082,21,441,0,0,0,1,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53704,1,4,44,1,3,2,1,2,2,3,2,2,2,2,3,5,43,2,1,5,1,18,2,,,,,,,,,15,2,1,,15,2,7,,,,5,2,,,,,,,2,2,1,,,,2,1,3000,1,2,500,1,2,3,,16,,9,1,2,2,1,200000,99,1,,,,,,,,,,2,,2,,1,1,,,,,12,40,,,4,,,,50000,,50000,1,1,1,1,1,250000,1,5000,1,2,,1,8,2,2,2,2,2,1,2,2,,2,2,2,,,,,2,2,2,2,2,2,2,1,2,1,2,2,2,1,2,1,2,2,1,2,2,2,2,6,58,1,1,1,,1,3,2,1,2,1,1,1.174860001,1613.756592,0,1,0,,3,2,7,0,0,0,0,0,0,1,0,2,0,1,0,0,43,,43,3,0,0,1,0,0,0,1,0,1,2,1737.030762,1737.030762,868.5153809,1,1,0,0,0,1,3,1,0,0,1,0,250000,1,1,1,1,200000,,,1,5000,0,5000,1,1,1,1,,1,11610,17415,0,46440,1,1,42400,386,1,,,1,,9,3,1,1,1,1,1,,1,1,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,1,,1,0,1,782,673,456,497,0.654982805,0.738484383,0.583120227,0,1,0,0,11567,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,164.6075745,12.82994843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,43,1849,1,,1,1,1,0,0,0,0,,41.48656082,43,1849,0,0,0,0,0,0,0,0,12,40,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
148400,1,4,47,1,1,1,1,2,1,1,1,2,2,3,1,1,55,2,1,1,1,55,2,,,,,,,,,,,,,,,10,,,,,2,11,,,,,2,2,2,1,1,1,2,2,2,,1,2,400,2,2,3,,28,,7,2,2,2,1,500000,,,,,,,,,,,,2,,2,,2,1,,1,1,,9,35,12,35,4,,,,70000,,70000,1,1,1,1,2,1.00E+06,1,30000,1,1,,2,,2,2,1,1,2,2,2,2,,2,2,2,400,2,,,2,2,2,2,2,2,1,1,3,1,1,2,1,1,4,1,2,2,1,2,1,2,1,2,46,97,,,1954,1,2,2,0,2,2,0,2.033387184,2793.006836,1,1,0,4,4,2,8,0,0,0,0,0,0,0,1,1,1,0,0,0,55,55,55,4,0,0,0,1,0,1,0,1,0,3,5442.390625,2721.195313,2721.195313,1,1,0,0,0,1,4,1,0,0,0,1,1.00E+06,1,1,1,1,500000,0,500000,1,30000,0,30000,1,1,1,0,1,1,11610,17415,0,46440,1,1,42400,251,1,,,1,,7,3.5,1,1,1,1,1,1,,1,1,1,1,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,782,673,456,497,0.654982805,0.738484383,0.583120227,0,0,1,0,11571,57,0,0,0,0,0,0,13000,13000,114.01754,400,400,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,1,0,0,1,1,1,0,55,3025,1,1,1,1,1,1,2,0,55,55,41.48656082,55,3025,0,1,1,0,0,0,0,0,9,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
